"","Year","Age","Bio","SSB","Yield","M2"
"1",1974,1,612054,306027,250216.7,1.488485
"2",1974,2,84759.9,75436.4,57035.79,1.157809
"3",1974,3,10538.9,9906.52,8556.721,0.6985587
"4",1975,1,977691,402124,359475.2,1.550915
"5",1975,2,263234,225986,221082.9,1.121928
"6",1975,3,9120.17,8616.73,7544.704,0.6575538
"7",1976,1,1991800,819227,602503,1.201507
"8",1976,2,165433,142024,106156,1.06988
"9",1976,3,11957.5,11297.4,5245.647,0.874896
"10",1977,1,820791,337591,149290.1,1.277888
"11",1977,2,303492,260547,170867.669,1.117727
"12",1977,3,6122.62,5784.65,2892.9671,0.969002
"13",1978,1,746009,306834,357835.55,1.208645
"14",1978,2,143537,123226,83614.91,1.077198
"15",1978,3,16719.2,15796.3,4917.097,0.965985
"16",1979,1,1716080,705822,414582.5,1.138603
"17",1979,2,133160,114318,71294.98,1.009762
"18",1979,3,8007.54,7565.53,3683.362,0.859813
"19",1980,1,913367,375668,111243.4,1.759644
"20",1980,2,313478,269121,357895.45,1.350153
"21",1980,3,6795.63,6420.51,42968.033,1.008876
"22",1981,1,624017,256658,131313.37,1.739215
"23",1981,2,92874.2,79732.5,67598.403,1.506735
"24",1981,3,11962.8,11302.4,5449.303,1.036505
"25",1982,1,315330,129695,128311.49,1.619132
"26",1982,2,67036.5,57550.8,28655.964,1.461922
"27",1982,3,3762.95,3555.23,1932.5865,0.928586
"28",1983,1,140397,57745.4,35767.251,1.551645
"29",1983,2,52228.7,44838.4,27700.003,1.298973
"30",1983,3,5410.03,5111.4,4992.50869,0.833345
"31",1984,1,200364,82409.7,54917.88,1.563238
"32",1984,2,16430,14105.1,6574.2468,1.223383
"33",1984,3,1993.43,1883.39,210.8241,0.8260953
"34",1985,1,330899,136099,18117.151,1.877883
"35",1985,2,33881.2,29087,23763.17871,1.329732
"36",1985,3,1654.57,1563.23,621.089064,0.886879
"37",1986,1,121961,50162.6,3480.683,1.696559
"38",1986,2,49652,42626.2,8017.343,1.300435
"39",1986,3,4457.24,4211.2,6589.4244,0.837196
"40",1987,1,371789,152917,25312.3218,1.905471
"41",1987,2,14143.7,12142.4,4214.7906,1.71571
"42",1987,3,2552.15,2411.27,46.532,0.970779
"43",1988,1,172891,71110.3,23265.361,1.876738
"44",1988,2,70173.1,60243.6,52806.071,1.544469
"45",1988,3,2859.04,2701.22,250.4295,0.983713
"46",1989,1,355505,146219,20336.777,1.803833
"47",1989,2,32380.7,27798.8,44226.4753,1.456724
"48",1989,3,12392.3,11708.2,17.334095,1.021899
"49",1990,1,295592,121577,37662.23,1.75803
"50",1990,2,80540.2,69143.7,36213.685,1.462429
"51",1990,3,11628.1,10986.2,19187.9595,1.004732
"52",1991,1,390312,160535,40059.9982,1.673986
"53",1991,2,21504.8,18461.9,32107.06056,1.320584
"54",1991,3,2621.31,2476.61,811.52349,0.874568
"55",1992,1,248655,102272,93030.1861,1.406998
"56",1992,2,58868.2,50538.4,16027.25178,1.111819
"57",1992,3,2597.01,2453.66,3010.819361,0.773019
"58",1993,1,558019,229513,89918.46,1.278426
"59",1993,2,57137.9,49052.9,82081.086,1.039223
"60",1993,3,10559.2,9976.38,4566.6778,0.750913
"61",1994,1,867729,356897,352586.6,1.089356
"62",1994,2,101696,87306.1,33110.11,0.920444
"63",1994,3,6491.51,6133.18,3616.779,0.7022927
"64",1995,1,628887,258661,271699.29,1.24504
"65",1995,2,199992,171693,93249.8,0.987561
"66",1995,3,12495.8,11806,20637.2175,0.7132423
"67",1996,1,178481,16509.5,26078.25,1.180128
"68",1996,2,92957.5,71456.5,39658.115,0.97581
"69",1996,3,13484.4,11794.8,19650.1705,0.736049
"70",1997,1,346249,145321,54174.233,1.088909
"71",1997,2,45158.4,33376.5,24242.108,0.8334219
"72",1997,3,16479.5,15233.7,6811.311,0.6196291
"73",1998,1,421766,279125,71729.168,1.121504
"74",1998,2,93808.7,79887.5,41218.1262,0.872612
"75",1998,3,10591.7,9929.71,10312.9133,0.6722571
"76",1999,1,577339,322963,170792.03,1.06306
"77",1999,2,69814.3,63712.5,13267.661,0.858212
"78",1999,3,7269.78,7119.29,2572.8168,0.6401811
"79",2000,1,459708,161036,126006.97,1.090585
"80",2000,2,140051,123301,35424.69,0.8734656
"81",2000,3,9942.76,9689.22,7066.646,0.6509157
"82",2001,1,379095,162177,101487.262,1.169698
"83",2001,2,80943.4,73788,49459.245,0.950675
"84",2001,3,11051.5,10601.7,6518.9612,0.7344916
"85",2002,1,399966,145868,96572.1938,1.216193
"86",2002,2,51840.2,45194.3,16942.1054,1.000606
"87",2002,3,4558.34,4558.34,4248.784262,0.791198
"88",2003,1,334392,65540.9,118340.517,1.246223
"89",2003,2,45990.3,33605.1,22045.1186,1.064308
"90",2003,3,2095.11,1621.62,2301.76801,0.859702
"91",2004,1,268580,139527,78442.0247,1.121627
"92",2004,2,46570,41163.2,14713.84531,0.946803
"93",2004,3,2523.1,2465.58,1466.554809,0.775985
"94",2005,1,614649,102155,186327.817,1.079335
"95",2005,2,34770.9,22507.2,5477.2576,0.8418
"96",2005,3,2005.13,1689.12,883.58637,0.650846
"97",2006,1,295310,141985,93245.456,1.167456
"98",2006,2,155282,155282,28729.2112,0.7760479
"99",2006,3,5337.93,5337.93,5234.26091,0.6335596
"100",2007,1,353586,100135,42287.0277,1.144127
"101",2007,2,51627.9,44100.6,25770.8983,0.78612
"102",2007,3,14775.7,13930.5,5323.10479,0.6238288
"103",2008,1,253771,63011.4,19418.9882,0.938901
"104",2008,2,62310.3,49075.6,32035.26579,0.7064699
"105",2008,3,5883.83,5276.61,9925.866393,0.5924332
"106",2009,1,536018,330187,114399.418,0.8730688
"107",2009,2,51889.2,47847,9742.2038,0.6537694
"108",2009,3,5865.91,5782.03,2016.97898,0.5384112
"109",2010,1,465098,243386,83637.81,0.9932929
"110",2010,2,176844,162308,53356.125,0.6403442
"111",2010,3,11252.5,11118.6,32488.622,0.5185245
"112",2011,1,570214,214628,71211.35,1.412036
"113",2011,2,127659,107859,51747.947,0.8370221
"114",2011,3,33071.5,31378.3,19035.929,0.6400517
"115",2012,1,433031,267267,56030.793,1.525511
"116",2012,2,95327.9,93326,22331.508,0.810185
"117",2012,3,20323.3,20323.3,3513.5232,0.7554144
"118",2013,1,286110,143341,51259.5716,1.284731
"119",2013,2,71623.3,67963.3,11780.9649,0.6687273
"120",2013,3,17720,17720,4765.750474,0.6210395
