Year Recruitment SSB Landings F0
1974 295931 590355 379883 0.977
1975 637949 518830 607849 1.513
1976 314845 515133 701782 1.151
1977 373635 363312 335306 1.522
1978 471681 277897 489316 1.577
1979 251840 399520 484624 1.511
1980 270293 246161 483279 1.557
1981 98879 157392 201840 1.344
1982 58064 100752 127212 0.866
1983 69990 71625 67486 1.658
1984 31021 68242 68416 1.059
1985 16872 42942 39458 1.446
1986 152040 18513 20659 1.075
1987 117848 75470 42156 0.432
1988 389712 80360 86481 0.208
1989 13762 176813 63698 0.072
1990 145641 124670 89571 2.319
1991 292181 89576 84649 0.616
1992 277499 229060 153649 0.735
1993 390060 269314 234265 1.863
1994 193592 301043 398697 0.938
1995 107915 144308 416538 1.393
1996 201867 118159 83634 0.607
1997 206679 342415 90316 0.626
1998 276951 321635 161433 1.225
1999 264031 211862 220736 0.598
2000 192360 293278 179540 0.758
2001 145915 192745 110442 1.535
2002 174733 78083 144265 1.413
2003 173091 187017 131255 0.952
2004 373211 85722 229197 1.699
2005 139759 380236 257645 0.771
2006 178795 213021 70750 0.825
2007 166239 141970 78730 1.270
2008 320758 222621 65598 0.634
2009 219981 379008 175282 0.459
2010 246921 310601 161814 0.496
2011 214250 355114 111200 0.536
2012 120725 294419 107070 0.365
